algoritmo,repeticao,semente,valor,iteracoes,pioras_aceitas,talhoes
tempera_simulada,5,114035,14.114991,1976,26,"(1,3) -> (1,5) -> (1,6) -> (2,1) -> (2,2) -> (2,3) -> (3,10) -> (4,1) -> (4,8) -> (6,3) -> (8,4) -> (10,6) -> (10,7) -> (11,0) -> (11,5)"
tempera_simulada,6,114036,13.881216,1976,32,"(1,5) -> (3,1) -> (3,6) -> (3,9) -> (4,6) -> (4,8) -> (5,0) -> (5,5) -> (6,8) -> (7,10) -> (8,7) -> (9,3) -> (9,8) -> (9,11) -> (11,10)"
tempera_simulada,7,114037,14.134929,1976,27,"(1,10) -> (2,10) -> (3,3) -> (3,7) -> (4,0) -> (4,10) -> (5,4) -> (6,1) -> (6,4) -> (6,6) -> (8,8) -> (9,5) -> (9,6) -> (9,7) -> (10,10)"
tempera_simulada,8,114038,14.376686,1976,20,"(0,5) -> (1,8) -> (2,6) -> (4,6) -> (4,9) -> (5,2) -> (5,4) -> (5,9) -> (5,10) -> (6,0) -> (7,3) -> (8,5) -> (9,3) -> (11,5) -> (11,11)"
tempera_simulada,9,114039,13.821997,1976,17,"(0,0) -> (1,6) -> (1,10) -> (2,4) -> (3,6) -> (3,7) -> (5,0) -> (6,0) -> (6,6) -> (6,8) -> (7,3) -> (9,9) -> (10,4) -> (11,4) -> (11,6)"
tempera_simulada,10,114040,14.374095,1976,21,"(0,6) -> (1,0) -> (1,6) -> (1,9) -> (2,10) -> (3,6) -> (4,4) -> (6,11) -> (7,5) -> (7,8) -> (7,10) -> (8,4) -> (9,3) -> (9,9) -> (10,10)"
tempera_simulada,11,114041,13.998569,1976,36,"(0,4) -> (1,8) -> (2,3) -> (3,1) -> (3,2) -> (3,6) -> (4,8) -> (4,9) -> (5,2) -> (6,5) -> (7,0) -> (7,2) -> (7,8) -> (10,6) -> (10,8)"
tempera_simulada,12,114042,14.007272,1976,31,"(0,10) -> (1,0) -> (2,4) -> (2,6) -> (2,9) -> (2,10) -> (4,8) -> (5,10) -> (6,0) -> (6,3) -> (6,9) -> (7,3) -> (8,7) -> (11,1) -> (11,2)"
tempera_simulada,13,114043,14.518233,1976,20,"(1,3) -> (1,4) -> (2,2) -> (2,11) -> (4,4) -> (5,4) -> (5,9) -> (6,3) -> (6,11) -> (8,4) -> (9,10) -> (10,0) -> (10,1) -> (11,1) -> (11,4)"
tempera_simulada,14,114044,13.942521,1976,26,"(2,4) -> (4,6) -> (4,11) -> (5,10) -> (6,3) -> (6,6) -> (6,7) -> (6,9) -> (7,1) -> (8,10) -> (9,3) -> (9,7) -> (10,9) -> (10,11) -> (11,11)"
